,Action,Portfolio,Price,Timestamp
241,Buy,10004.894203518432,192.0000001385987,2024-06-11 09:00:00+00:00
242,Buy,10004.144202802341,191.84999999538064,2024-06-11 10:00:00+00:00
243,Buy,10012.154203207196,192.74000004036427,2024-06-11 11:00:00+00:00
244,Buy,10013.584205523639,192.85000021855234,2024-06-11 12:00:00+00:00
245,Buy,10016.784202726036,193.05000004370214,2024-06-11 13:00:00+00:00
246,Sell,10132.304185136682,199.12999911794662,2024-06-11 14:00:00+00:00
247,Buy,10132.304185136682,203.23999909139872,2024-06-11 15:00:00+00:00
248,Buy,10136.663789544995,204.32990019347667,2024-06-11 16:00:00+00:00
249,Buy,10142.344594477301,205.0400008100152,2024-06-11 17:00:00+00:00
250,Sell,10141.744585125047,204.99000003066064,2024-06-11 18:00:00+00:00
251,Buy,10141.744585125047,207.69000041373968,2024-06-11 21:00:00+00:00
252,Buy,10139.584584818584,207.15000033712386,2024-06-11 22:00:00+00:00
253,Sell,10137.984577438003,206.94999941455126,2024-06-11 23:00:00+00:00
254,Buy,10137.984577438003,205.9999999707341,2024-06-12 10:00:00+00:00
255,Sell,10138.784581128293,206.20000089330674,2024-06-12 11:00:00+00:00
256,Buy,10138.784581128293,206.20000089330674,2024-06-12 12:00:00+00:00
257,Sell,10139.5845760392,206.39999962103366,2024-06-12 13:00:00+00:00
258,Buy,10139.5845760392,214.2550011216402,2024-06-12 14:00:00+00:00
259,Buy,10148.97697036293,216.60309970257282,2024-06-12 15:00:00+00:00
260,Buy,10148.212180776673,216.5075010042906,2024-06-12 16:00:00+00:00
261,Buy,10140.712353593117,215.82569853305816,2024-06-12 17:00:00+00:00
262,Sell,10164.01259825068,217.4900017228842,2024-06-12 18:00:00+00:00
263,Buy,10164.01259825068,213.9200018260479,2024-06-12 21:00:00+00:00
264,Buy,10163.132588045792,213.69999927482604,2024-06-12 22:00:00+00:00
265,Buy,10159.132595932488,213.20000026066302,2024-06-12 23:00:00+00:00
266,Buy,10170.132574244075,214.19999828898906,2024-06-13 08:00:00+00:00
267,Buy,10169.99257820745,214.1899985720873,2024-06-13 09:00:00+00:00
268,Sell,10158.262611782651,213.5000005470991,2024-06-13 10:00:00+00:00
269,Buy,10158.262611782651,213.22999941136837,2024-06-13 11:00:00+00:00
270,Sell,10157.342620268922,213.0000015329361,2024-06-13 12:00:00+00:00
271,Buy,10157.342620268922,213.73999814243317,2024-06-13 16:00:00+00:00
272,Sell,10151.566629269319,212.29600039253233,2024-06-13 17:00:00+00:00
273,Buy,10151.56662926932,212.69370203940866,2024-06-13 18:00:00+00:00
274,Sell,10156.711821621519,213.98000012745857,2024-06-13 19:00:00+00:00
